UTC,bct_wdt_2sec_cnt,bct_reset_armed,bct_wdt_stat,bct_wdt_en,bct_table_select,bct_boot_relay,bct_l0_acpt_cnt,bct_l0_rjct_cnt,bct_hw_sec_cnt,bct_time_tag,bct_pld_tlm_ack_cnt,bct_pld_cmd_cnt,bct_pld_tlm_to_cnt,bct_pld_tlm_nak_cnt,bct_spare_end,bct_cmd_status,bct_realtime_cmd_accept_count,bct_realtime_cmd_reject_count,bct_stored_cmd_accept_count,bct_stored_cmd_reject_count,bct_macros_executing_pack_bit8,bct_macros_executing_pack1,bct_macros_executing_pack_bit7,bct_macros_executing_pack_bit6,bct_macros_executing_pack_bit5,bct_macros_executing_pack_bit4,bct_macros_executing_pack_bit3,bct_macros_executing_pack_bit2,bct_macros_executing_pack_bit1,bct_macros_executing_pack2,bct_macros_executing_pack_bit16,bct_macros_executing_pack_bit15,bct_macros_executing_pack_bit14,bct_macros_executing_pack_bit13,bct_macros_executing_pack_bit12,bct_macros_executing_pack_bit11,bct_macros_executing_pack_bit10,bct_macros_executing_pack_bit9,bct_scrub_status_overall,bct_scrub_count,bct_image_booted,bct_image_auto_failover,bct_tai_seconds,bct_time_valid,bct_position_wrt_eci1,bct_position_wrt_eci2,bct_position_wrt_eci3,bct_velocity_wrt_eci1,bct_velocity_wrt_eci2,bct_velocity_wrt_eci3,bct_nadir_vector_body1,bct_nadir_vector_body2,bct_nadir_vector_body3,bct_sun_vector_body1,bct_sun_vector_body2,bct_sun_vector_body3,bct_sun_position_wrt_eci1,bct_sun_position_wrt_eci2,bct_sun_position_wrt_eci3,bct_moon_position_wrt_eci1,bct_moon_position_wrt_eci2,bct_moon_position_wrt_eci3,bct_refs_valid,bct_esm_valid,bct_run_low_rate_task,bct_q_body_wrt_eci1,bct_q_body_wrt_eci2,bct_q_body_wrt_eci3,bct_q_body_wrt_eci4,bct_body_rate1,bct_body_rate1_dps,bct_body_rate1_rpm,bct_body_rate2,bct_body_rate2_dps,bct_body_rate2_rpm,bct_body_rate3,bct_body_rate3_dps,bct_body_rate3_rpm,bct_bad_att_timer,bct_bad_rate_timer,bct_reinit_count,bct_attitude_valid,bct_meas_att_valid,bct_meas_rate_valid,bct_tracker_used,bct_hr_cycle_safe_mode,bct_rotisserie_rate,bct_rotisserie_rate_dps,bct_rotisserie_rate_rpm,bct_adcs_mode,bct_safe_mode_reason,bct_recommend_sun_point,bct_filtered_speed_rpm1,bct_filtered_speed_rpm2,bct_filtered_speed_rpm3,bct_operating_mode1,bct_operating_mode2,bct_operating_mode3,bct_operating_mode,bct_star_id_step,bct_att_status,bct_det_timeout_count,bct_num_attitude_stars,bct_position_error1,bct_position_error2,bct_position_error3,bct_eigen_error,bct_time_into_search,bct_wait_timer,bct_sun_point_angle_error,bct_sun_point_state,bct_momentum_vector_body1,bct_momentum_vector_body2,bct_momentum_vector_body3,bct_total_momentum_mag,bct_duty_cycle1,bct_duty_cycle2,bct_duty_cycle3,bct_torque_rod_mode1,bct_torque_rod_mode2,bct_torque_rod_mode3,bct_mag_source_used,bct_momentum_vector_valid,bct_sun_vector_status,bct_css_invalid_count,bct_sun_sensor_used,bct_mag_vector_body1,bct_mag_vector_body2,bct_mag_vector_body3,bct_mag_invalid_count,bct_mag_vector_valid,bct_mag_sensor_used,bct_imu_invalid_count,bct_new_packet_count,bct_imu_vector_valid,bct_hr_run_count,bct_hr_exec_time_ms1,bct_hr_exec_time_ms2,bct_hr_exec_time_ms3,bct_hr_exec_time_ms4,bct_hr_exec_time_ms5,bct_payload_sec_since_last_tlm,bct_payload_tlm_rx_count,bct_payload_tlm_ack_count,bct_payload_tlm_nak_count,bct_voltage_12p0,bct_voltage_8p0,bct_voltage_5p0,bct_voltage_3p3,bct_det_temp,bct_det2_temp,bct_box1_temp,bct_imu_temp,bct_motor1_temp,bct_motor2_temp,bct_motor3_temp,bct_bus_voltage,bct_battery_voltage,bct_battery_current,bct_battery1_temp,bct_battery2_temp,bct_user_analog1,bct_user_analog2,bct_cycles_since_crc_data,bct_gps_lock_count,bct_gps_valid,bct_gps_enable,bct_latched_resp_fire_pack1,bct_latched_resp_fire_pack_bit8,bct_latched_resp_fire_pack_bit7,bct_latched_resp_fire_pack_bit6,bct_latched_resp_fire_pack_bit5,bct_latched_resp_fire_pack_bit4,bct_latched_resp_fire_pack_bit3,bct_latched_resp_fire_pack_bit2,bct_latched_resp_fire_pack_bit1,bct_latched_resp_fire_pack2,bct_latched_resp_fire_pack_bit16,bct_latched_resp_fire_pack_bit15,bct_latched_resp_fire_pack_bit14,bct_latched_resp_fire_pack_bit13,bct_latched_resp_fire_pack_bit12,bct_latched_resp_fire_pack_bit11,bct_latched_resp_fire_pack_bit10,bct_latched_resp_fire_pack_bit9,bct_sd_minute_cur,bct_sd_percent_used_total,bct_sd_percent_used_fsw,bct_sd_percent_used_soh,bct_sd_percent_used_line,bct_sd_percent_used_tbl,bct_sd_percent_used_pay,bct_sdr_tx_frames,bct_sdr_rx_frames,bct_sdr_tx,bct_sdr_tx_power,bct_sdr_rx_lock,bct_sdr_rx_power,bct_sdr_rx_freq_offset,bct_sdr_temp,bct_sdr_comm_error,bct_sq_channel,bct_sq_trap_count,bct_sq_temp,bct_aid_status1,bct_aid_status_bit8,bct_aid_status_bit7,bct_aid_status_bit6,bct_aid_status_bit5,bct_aid_status_bit4,bct_aid_status_bit3,bct_aid_status_bit2,bct_aid_status_bit1,bct_aid_status2,bct_aid_status_bit16,bct_aid_status_bit15,bct_aid_status_bit14,bct_aid_status_bit13,bct_aid_status_bit12,bct_aid_status_bit11,bct_aid_status_bit10,bct_aid_status_bit9,bct_star_id_status,bct_io24_out_,bct_io23_out_,bct_io22_out_rel2_en,bct_io21_out_,bct_io20_out_pld_htr_vbus,bct_io19_out_pld_htr_vbus,bct_io18_out_rel1_en,bct_io17_in_boot_red,bct_io16_in_bat_chg_stat,bct_io15_out_det2,bct_io14_out_12v_mode,bct_io13_in_,bct_io12_out_12v_en,bct_io11_in_sep_mon,bct_io10_out_pld_rst_req,bct_io9_out_pld_vbus
2018/344-15:41:07,128,1,1,0,0,0,0,0,156,3942263262,0,99,0,0,0,0,23,0,129,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,49,0,0,597771704.2,1,3137.058843,2974.414711,5459.657207,-2.8904891,-5.187894025,4.57209608,0.575679986,-0.194799995,-0.79411998,0,0,0.99999997,-29950565.93,-132344910.4,-57371289.01,175375.0384,-333602.6983,-143812.4576,1,1,0,-0.113995264,0.536562432,0.749098112,0.371426729,-7.65E-05,-0.004384273,-0.000730712,3.23E-05,0.001851227,0.000308538,-3.61E-05,-0.002066945,-0.000344491,0,0,20,1,1,1,2,1,0.00872,0.499619185,0.083269864,1,1,0,-45.20000113,58.00000145,-232.0000058,1,1,1,3,0,0,7,41,1.95E-05,3.43E-05,5.98E-06,3.99E-05,0,109,180.9989879,7,-0.0002,-0.0002,0.0004,0.0005,10,12,7,3,3,3,5,1,2,0,3,2.58E-05,8.51E-06,-3.80E-05,0,1,3,0,50,1,883810,9,8,8,9,8,176779,0,0,0,11.9,7.9,4.975,3.345000223,0,-1.60000002,-9.01499982,0.564999989,-6.219999876,-6.039999879,-7.074999858,11.783,11.75600059,1.584000079,16.15999968,13.16499974,-9.052500362,-10.94800044,3240,36,0,1,2,1,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,54093,30,80,83,1,1,0,0,0,0,0,0,0,0,0,1,65,0,252,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2018/344-15:42:11,128,1,1,0,0,0,0,0,20,1906651401,0,221,0,0,0,0,23,0,129,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,49,0,0,597771768.2,1,2744.549663,2325.848524,5960.417342,-3.47428577,-5.562614115,3.762139595,0.617639985,-0.298559993,-0.727559982,0,0,0.99999997,-29947006.35,-132345564.3,-57371572.58,175481.1044,-333554.0837,-143802.9442,1,1,0,-0.114014002,0.536556431,0.749112382,0.371400866,-9.85E-05,-0.005646213,-0.000941035,3.55E-05,0.002036006,0.000339334,8.36E-05,0.00479136,0.00079856,0,0,20,1,1,1,2,1,0.00872,0.499619185,0.083269864,1,1,0,0.40000001,100.0000025,-264.4000066,1,1,1,3,0,0,7,42,6.36E-05,-1.38E-05,-2.19E-05,6.87E-05,0,109,180.9989879,7,0,-0.0002,0.0006,0.0005,10,20,6,3,3,3,5,1,2,0,3,3.05E-05,-1.90E-07,-3.70E-05,0,1,3,0,50,1,884410,11,11,11,11,11,176899,0,0,0,11.9,7.9,4.975,3.345000223,0,-1.60000002,-9.324999814,0.294999994,-6.464999871,-6.324999873,-7.404999852,11.754,11.72600059,1.584000079,16.65499967,13.62499973,-9.516500381,-11.27450045,3840,36,0,1,2,1,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,54095,30,80,83,1,1,0,0,0,0,0,0,0,0,0,1,65,0,252,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2018/344-15:44:11,128,1,1,0,0,0,0,0,140,3312203814,0,83,0,0,0,0,23,0,131,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,49,0,0,597771888.2,1,2305.589465,1640.538638,6360.028142,-3.83136484,-5.843070095,2.88865441,0.649159984,-0.39735999,-0.361879991,0,0,0.99999997,-29943446.71,-132346218,-57371856.15,175587.1546,-333505.4399,-143793.418,1,1,0,-0.114011773,0.536581579,0.749085147,0.371420151,0.000234445,0.013432709,0.002238785,9.32E-05,0.005341113,0.000890185,-3.19E-05,-0.001828308,-0.000304718,0,0,20,1,1,1,2,1,0.00872,0.499619185,0.083269864,1,1,0,27.60000069,152.0000038,-305.2000076,1,1,1,3,0,0,7,43,-9.35E-06,-1.46E-05,1.91E-05,2.58E-05,0,109,180.9989879,7,0.0002,-0.0002,0.0006,0.0005,13,31,2,3,3,3,5,1,2,0,3,3.30E-05,-8.07E-06,-3.15E-05,0,1,3,0,50,1,885010,8,8,8,8,8,177019,0,0,0,11.9,7.9,4.975,3.345000223,0,-1.60000002,-9.634999807,0.02,-6.749999865,-6.49999987,-7.694999846,11.725,11.69800058,1.59000008,17.10999966,14.07999972,-8.330000333,-10.78600043,4440,36,0,1,2,1,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,54097,30,80,83,1,1,0,0,0,0,0,0,0,0,0,1,65,0,252,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2018/344-15:46:11,128,1,1,0,0,0,0,0,4,519913297,0,203,0,0,0,0,23,0,131,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,49,0,0,597772008.2,1,1827.619889,927.4707136,6651.742147,-4.12353631,-6.02460767,1.966389535,0.669639983,-0.489279988,-0.558759986,0,0,0.99999997,-29939887.14,-132346871.8,-57372139.65,175693.189,-333456.7669,-143783.8794,1,1,0,-0.114010033,0.536578896,0.749091925,0.371410889,-0.00024609,-0.014099918,-0.002349986,5.37E-05,0.003076497,0.000512749,-2.84E-05,-0.001624622,-0.00027077,0,0,20,1,1,1,2,1,0.00872,0.499619185,0.083269864,1,1,0,74.00000185,184.0000046,-346.0000087,1,1,1,3,0,0,7,41,2.77E-06,-1.74E-05,-1.06E-06,1.87E-05,0,109,180.9989879,7,0,-0.0004,0.0006,0.0005,15,23,3,3,3,3,5,1,2,0,3,3.50E-05,-1.37E-05,-2.42E-05,0,1,3,0,50,1,885610,11,11,11,11,11,177139,0,0,0,11.9,7.9,4.975,3.345000223,-0.80000001,-2.40000003,-9.909999802,-0.244999995,-7.149999857,-6.679999866,-7.919999842,11.701,11.67200058,1.588000079,17.54499965,14.53999971,-8.405500336,-10.90750044,5040,36,0,1,2,1,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,54099,30,80,83,1,1,0,0,0,0,0,0,0,0,0,1,65,0,252,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2018/344-15:47:11,128,1,1,0,0,0,0,0,64,3419489004,0,7,0,0,0,0,23,0,133,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,49,0,0,597772068.2,1,1576.513761,564.2860118,6755.524242,-4.243713815,-6.0772767,1.491792095,0.675599983,-0.532319987,-0.510119987,0,0,0.99999997,-29938107.35,-132347198.5,-57372281.44,175746.2002,-333432.4195,-143779.1054,1,1,0,-0.113995219,0.536578078,0.749085567,0.371429441,2.48E-05,0.001421508,0.000236918,-2.16E-05,-0.001235583,-0.000205931,2.22E-05,0.001272253,0.000212042,0,0,20,1,1,1,2,1,0.00872,0.499619185,0.083269864,1,1,0,34.40000086,204.0000051,-372.0000093,1,1,1,3,0,0,7,42,-1.81E-05,2.28E-05,1.57E-05,3.31E-05,0,109,180.9989879,7,0,-0.0004,0.0008,0.001,19,27,4,3,3,3,5,1,2,0,3,3.41E-05,-1.59E-05,-2.34E-05,0,1,3,0,50,1,885910,7,7,7,7,7,177199,0,0,0,11.9,7.9,4.975,3.330000222,-0.80000001,-2.40000003,-10.0649998,-0.369999993,-7.364999853,-6.749999865,-8.029999839,11.681,11.65400058,1.59200008,17.73999965,14.73999971,-4.596000184,-10.74600043,5340,36,0,1,2,1,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,54100,30,80,83,1,1,0,0,0,0,0,0,0,0,0,1,65,0,252,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2018/344-15:48:11,128,1,1,0,0,0,0,0,124,1984775803,0,67,0,0,0,0,23,0,133,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,49,0,0,597772128.2,1,1318.733634,198.7121501,6830.630618,-4.3459251,-6.10421896,1.010866925,0.678759983,-0.573039986,-0.459279989,0,0,0.99999997,-29936327.5,-132347525.3,-57372423.15,175799.2076,-333408.0647,-143774.3282,1,1,0,-0.114024633,0.536583778,0.749088708,0.371405844,9.27E-05,0.005309313,0.000884886,1.10E-05,0.00063054,0.00010509,-7.00E-06,-0.00040107,-6.68E-05,0,0,20,1,1,1,2,1,0.00872,0.499619185,0.083269864,1,1,0,42.40000106,216.0000054,-391.6000098,1,1,1,3,0,0,7,41,4.00E-06,-5.01E-05,8.32E-06,5.09E-05,0,109,180.9989879,7,0.0002,-0.0004,0.0008,0.001,18,27,0,3,3,3,5,1,2,0,3,3.41E-05,-1.95E-05,-1.81E-05,0,1,3,0,50,1,886210,8,8,8,8,8,177259,0,0,0,11.9,7.9,4.975,3.345000223,-0.80000001,-2.40000003,-10.1849998,-0.48499999,-7.584999848,-6.824999863,-8.144999837,11.672,11.64200058,1.588000079,17.93999964,14.9349997,-8.217500329,-10.78600043,5640,36,0,1,2,1,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,54101,30,80,83,1,1,0,0,0,0,0,0,0,0,0,1,65,0,252,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2018/344-15:49:11,128,1,1,0,0,0,0,0,184,568674826,0,127,0,0,0,0,23,0,133,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,49,0,0,597772188.2,1,1055.370727,-167.7033516,6876.742096,-4.429741345,-6.105320905,0.525633695,0.678919983,-0.611359985,-0.40659999,-0.017299999,-0.0134,-0.99979997,-29934547.71,-132347852.1,-57372564.94,175852.2112,-333383.7025,-143769.5478,1,1,0,-0.113951474,0.53658275,0.749085419,0.371436414,0.00013893,0.007960103,0.001326684,-2.38E-05,-0.00136364,-0.000227273,3.96E-05,0.002266908,0.000377818,0,0,20,1,1,1,2,1,0.00872,0.499619185,0.083269864,1,1,0,3.60000009,232.8000058,-414.0000104,1,1,1,3,0,0,7,42,-5.93E-05,9.23E-05,-2.17E-05,0.000111871,0,109,1.250999917,7,0,-0.0004,0.0008,0.001,21,26,4,3,3,3,5,1,0,0,3,3.54E-05,-2.13E-05,-1.73E-05,0,1,3,0,50,1,886510,9,9,9,9,9,177319,0,0,0,11.9,7.9,5,3.345000223,-0.80000001,-2.40000003,-10.30499979,-0.604999988,-7.809999844,-6.929999861,-8.289999834,19.734,12.0140006,-1.982000099,18.92999962,15.1349997,-4.596000184,-10.82650043,5940,36,0,1,2,1,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,54102,30,80,83,1,1,0,0,0,0,0,0,0,0,0,1,65,0,252,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2018/344-15:50:11,128,1,1,0,0,0,0,0,244,3390983589,0,187,0,0,0,0,23,0,133,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,49,0,0,597772248.2,1,787.5397406,-533.4092733,6893.661235,-4.494808795,-6.08057454,0.03812963,0.676319983,-0.360279991,-0.352119991,-0.020599999,-0.0129,-0.99969997,-29932767.85,-132348178.9,-57372706.65,175905.2106,-333359.3331,-143764.7644,1,1,0,-0.114033397,0.536555863,0.74910857,0.371403422,0.000193565,0.011090458,0.00184841,3.22E-05,0.001842346,0.000307058,1.10E-05,0.000629967,0.000104995,0,0,20,1,1,1,2,1,0.00872,0.499619185,0.083269864,1,1,0,16.80000042,236.4000059,-430.4000108,1,1,1,3,0,0,7,41,7.42E-05,-4.06E-05,5.71E-06,8.47E-05,0,109,1.391999907,7,0.0002,-0.0004,0.0008,0.001,19,26,2,3,3,3,5,1,0,0,3,3.42E-05,-2.23E-05,-1.45E-05,0,1,3,0,50,1,886810,11,10,10,11,10,177379,0,0,0,11.9,7.9,5,3.345000223,-0.80000001,-2.40000003,-10.41499979,-0.699999986,-7.364999853,-6.929999861,-8.329999833,19.729,12.14400061,-1.896000095,18.33499963,15.66499969,-8.899000356,-11.35650045,6240,36,0,1,2,1,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,54103,30,80,83,1,1,0,0,0,0,0,0,0,0,0,1,65,0,252,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2018/344-15:51:11,128,1,1,0,0,0,0,0,48,1837257012,0,247,0,0,0,0,23,0,135,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,49,0,0,597772308.2,1,516.3742742,-896.7138152,6881.313176,-4.540850165,-6.030077555,-0.44959773,0.670839983,-0.679999983,-0.295999993,-0.020599999,-0.0135,-0.99969997,-29930988,-132348505.6,-57372848.37,175958.206,-333334.9565,-143759.9778,1,1,0,-0.113974728,0.536616825,0.74905918,0.371432968,0.00058659,0.033609131,0.005601522,1.81E-05,0.001039632,0.000173272,-0.00013211,-0.007569345,-0.001261558,0,0,20,1,1,1,2,1,0.00872,0.499619185,0.083269864,1,1,0,1.20000003,253.6000063,-459.6000115,1,1,1,3,0,0,7,43,-0.00012046,2.25E-05,9.80E-06,0.000122935,0,109,1.409999906,7,0.0002,-0.0004,0.0008,0.001,19,26,10,3,3,3,5,1,0,0,3,3.38E-05,-2.52E-05,-1.11E-05,0,1,3,0,50,1,887110,7,7,7,7,7,177439,0,0,0,11.9,7.9,5,3.330000222,-1.60000002,-2.40000003,-10.41499979,-0.769999985,-7.329999853,-6.964999861,-8.369999833,19.729,12.18400061,-1.832000092,17.22499966,15.36999969,-8.25500033,-10.86700043,6540,36,0,1,2,1,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,54104,30,80,83,1,1,0,0,0,0,0,0,0,0,0,1,65,0,252,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2018/344-15:54:11,128,1,1,0,0,0,0,0,228,1659132909,0,171,0,0,0,0,23,0,135,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,49,0,0,597772488.2,1,-305.6062447,-1958.341082,6669.761027,-4.5632207,-5.726644375,-1.893650235,0.637319984,-0.760959981,-0.121599997,-0.017099999,-0.0165,-0.99969997,-29925648.5,-132349485.8,-57373273.51,176117.1688,-333261.7827,-143745.599,1,1,0,-0.114020746,0.536584416,0.749089421,0.371404677,-0.00039598,-0.022687983,-0.00378133,4.89E-05,0.002803482,0.000467247,-9.71E-06,-0.000556342,-9.27E-05,0,0,20,1,1,1,2,1,0.00872,0.499619185,0.083269864,1,1,0,42.00000105,267.2000067,-520.800013,1,1,1,3,0,0,7,42,1.18E-06,-4.58E-05,1.73E-06,4.59E-05,0,109,1.361999909,7,0,-0.0004,0.001,0.001,21,20,7,3,3,3,5,1,0,0,3,3.19E-05,-3.01E-05,3.45E-07,0,1,3,0,50,1,888010,10,10,10,10,10,177619,0,0,0,11.9,7.9,5,3.345000223,-1.60000002,-2.40000003,-10.38499979,-0.814999984,-7.439999851,-7.074999858,-8.404999832,19.729,12.22800061,-1.60400008,15.74499969,14.63999971,-8.292500332,-11.07000044,7440,36,0,1,2,1,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,54107,30,80,83,1,1,0,0,0,0,0,0,0,0,0,1,65,0,252,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
