name,startByte,startBit,dtype,size,conversion,unit,description,state
bct_wdt_2sec_cnt,0,0,dn,3,1,none,Watchdog 2 Second Counter,
bct_reset_armed,0,3,dn,1,1,1/ARMED 0/NOT_ARMED,Processor reset armed status,1/ARMED 0/NOT_ARMED
bct_wdt_stat,0,4,dn,1,1,0/NO_WDT 1/WDT,Watch Reset Event Status,0/NO_WDT 1/WDT
bct_wdt_en,0,5,dn,1,1,0/DISABLED 1/ENABLED,Watchdog Reset Enable Status,0/DISABLED 1/ENABLED
bct_table_select,0,6,dn,1,1,0/FLASH 1/COMPILED,Table select,0/FLASH 1/COMPILED
bct_boot_relay,0,7,dn,1,1,1/PRIMARY 0/REDUNDANT,Boot Relay Status,1/PRIMARY 0/REDUNDANT
bct_l0_acpt_cnt,1,0,dn,8,1,none,Level 0 Accept Counter,
bct_l0_rjct_cnt,2,0,dn,8,1,none,Level 0 Reject Counter,
bct_hw_sec_cnt,3,0,dn,8,1,none,Hardware Second Counter,
bct_time_tag,12,0,dn,32,1,USEC,Time Tag of Last Incoming Command,
bct_pld_tlm_ack_cnt,20,0,dn,8,1,none,Number of accepted telemetry packets,
bct_pld_cmd_cnt,21,0,dn,8,1,none,Number of commands sent,
bct_pld_tlm_to_cnt,22,0,dn,8,1,none,Number of timeouts waiting for telemetry,
bct_pld_tlm_nak_cnt,23,0,dn,8,1,none,Number of rejected telemetry packets,
bct_spare_end,24,0,dn,32,1,none,spare end,
bct_cmd_status,32,0,dn,8,1,0/OK 1/BAD_APID 2/BAD_OPCODE 3/BAD_DATA 4/NOW_READING 5/DONE_READING 6/IDLE 7/NO_CMD_DATA 8/CMD_SRVC_OVERRUN 9/CMD_APID_OVERRUN 10/INCORRECT_WHEEL_MODE 11/BAD_ELEMENT 12/TABLES_BUSY 13/FLASH_NOT_ARMED 14/THRUSTERS_DISABLED 15/ATT_ERR_TOO_HIGH 16/ASYNC_REFUSED 17/DRIVER_ERROR,Command Status,0/OK 1/BAD_APID 2/BAD_OPCODE 3/BAD_DATA 4/NOW_READING 5/DONE_READING 6/IDLE 7/NO_CMD_DATA 8/CMD_SRVC_OVERRUN 9/CMD_APID_OVERRUN 10/INCORRECT_WHEEL_MODE 11/BAD_ELEMENT 12/TABLES_BUSY 13/FLASH_NOT_ARMED 14/THRUSTERS_DISABLED 15/ATT_ERR_TOO_HIGH 16/ASYNC_REFUSED 17/DRIVER_ERROR
bct_cmd_reject_status,33,0,dn,8,1,0/OK 1/BAD_APID 2/BAD_OPCODE 3/BAD_DATA 4/NOW_READING 5/DONE_READING 6/IDLE 7/NO_CMD_DATA 8/CMD_SRVC_OVERRUN 9/CMD_APID_OVERRUN 10/INCORRECT_WHEEL_MODE 11/BAD_ELEMENT 12/TABLES_BUSY 13/FLASH_NOT_ARMED 14/THRUSTERS_DISABLED 15/ATT_ERR_TOO_HIGH 16/ASYNC_REFUSED 17/DRIVER_ERROR,Command Reject Status,0/OK 1/BAD_APID 2/BAD_OPCODE 3/BAD_DATA 4/NOW_READING 5/DONE_READING 6/IDLE 7/NO_CMD_DATA 8/CMD_SRVC_OVERRUN 9/CMD_APID_OVERRUN 10/INCORRECT_WHEEL_MODE 11/BAD_ELEMENT 12/TABLES_BUSY 13/FLASH_NOT_ARMED 14/THRUSTERS_DISABLED 15/ATT_ERR_TOO_HIGH 16/ASYNC_REFUSED 17/DRIVER_ERROR
bct_realtime_cmd_accept_count,34,0,dn,8,1,none,Realtime Command Accept Count,
bct_realtime_cmd_reject_count,35,0,dn,8,1,none,Realtime Command Reject Count,
bct_stored_cmd_accept_count,36,0,dn,8,1,none,Stored Command Accept Count,
bct_stored_cmd_reject_count,37,0,dn,8,1,none,Stored Command Reject Count,
bct_last_acc_cmd_bytes1,38,0,dn,8,1,none,Last Accept Cmd Bytes,
bct_last_acc_cmd_bytes2,39,0,dn,8,1,none,Last Accept Cmd Bytes,
bct_last_acc_cmd_bytes3,40,0,dn,8,1,none,Last Accept Cmd Bytes,
bct_last_acc_cmd_bytes4,41,0,dn,8,1,none,Last Accept Cmd Bytes,
bct_last_acc_cmd_bytes5,42,0,dn,8,1,none,Last Accept Cmd Bytes,
bct_last_acc_cmd_bytes6,43,0,dn,8,1,none,Last Accept Cmd Bytes,
bct_last_acc_cmd_bytes7,44,0,dn,8,1,none,Last Accept Cmd Bytes,
bct_last_acc_cmd_bytes8,45,0,dn,8,1,none,Last Accept Cmd Bytes,
bct_last_rej_cmd_bytes1,46,0,dn,8,1,none,Last Reject Cmd Bytes,
bct_last_rej_cmd_bytes2,47,0,dn,8,1,none,Last Reject Cmd Bytes,
bct_last_rej_cmd_bytes3,48,0,dn,8,1,none,Last Reject Cmd Bytes,
bct_last_rej_cmd_bytes4,49,0,dn,8,1,none,Last Reject Cmd Bytes,
bct_last_rej_cmd_bytes5,50,0,dn,8,1,none,Last Reject Cmd Bytes,
bct_last_rej_cmd_bytes6,51,0,dn,8,1,none,Last Reject Cmd Bytes,
bct_last_rej_cmd_bytes7,52,0,dn,8,1,none,Last Reject Cmd Bytes,
bct_last_rej_cmd_bytes8,53,0,dn,8,1,none,Last Reject Cmd Bytes,
bct_health_status_interval,54,0,dn,16,1,sec,Health and Status Packet Interval,
bct_nav_tlm_interval,56,0,dn,16,1,sec,NAV Tlm Packet Interval,
bct_stored_timed_cmds_enabled,58,0,dn,8,1,0/DS 1/EN,Stored Timed Commands Enabled,0/DS 1/EN
bct_macros_enabled,59,0,dn,8,1,0/DS 1/EN,Macros Enabled,0/DS 1/EN
bct_last_st_cmd_queued,60,0,dn,16,1,none,Last Stored Timed Cmd Queued ,
bct_last_st_cmd_expired,62,0,dn,16,1,none,Last Stored Timed Cmd Expired ,
bct_last_autonomous_macro,64,0,dn,16,1,none,Last Macro Started Autonomously,
bct_stored_timed_cmds_queued,66,0,dn,32,1,none,Stored Timed Cmds Queued Counter,
bct_stored_timed_cmds_expired,70,0,dn,32,1,none,Stored Timed Cmds Expired Counter,
bct_macro_cmds_queued,74,0,dn,32,1,none,Macro Cmds Queued Counter,
bct_macro_cmds_expired,78,0,dn,32,1,none,Macro Cmds Expired Counter,
bct_macros_executing_pack1,82,0,dn,8,1,bitpack,Macros Executing Bitpack,
bct_macros_executing_pack_bit8,82,0,dn,1,1,none,Macros Executing Bitpack bit 8,
bct_macros_executing_pack_bit7,82,1,dn,1,1,none,Macros Executing Bitpack bit 7,
bct_macros_executing_pack_bit6,82,2,dn,1,1,none,Macros Executing Bitpack bit 6,
bct_macros_executing_pack_bit5,82,3,dn,1,1,none,Macros Executing Bitpack bit 5,
bct_macros_executing_pack_bit4,82,4,dn,1,1,none,Macros Executing Bitpack bit 4,
bct_macros_executing_pack_bit3,82,5,dn,1,1,none,Macros Executing Bitpack bit 3,
bct_macros_executing_pack_bit2,82,6,dn,1,1,none,Macros Executing Bitpack bit 2,
bct_macros_executing_pack_bit1,82,7,dn,1,1,none,Macros Executing Bitpack bit 1,
bct_macros_executing_pack_bit16,83,0,dn,1,1,none,Macros Executing Bitpack bit 16,
bct_macros_executing_pack2,83,0,dn,8,1,bitpack,Macros Executing Bitpack,
bct_macros_executing_pack_bit15,83,1,dn,1,1,none,Macros Executing Bitpack bit 15,
bct_macros_executing_pack_bit14,83,2,dn,1,1,none,Macros Executing Bitpack bit 14,
bct_macros_executing_pack_bit13,83,3,dn,1,1,none,Macros Executing Bitpack bit 13,
bct_macros_executing_pack_bit12,83,4,dn,1,1,none,Macros Executing Bitpack bit 12,
bct_macros_executing_pack_bit11,83,5,dn,1,1,none,Macros Executing Bitpack bit 11,
bct_macros_executing_pack_bit10,83,6,dn,1,1,none,Macros Executing Bitpack bit 10,
bct_macros_executing_pack_bit9,83,7,dn,1,1,none,Macros Executing Bitpack bit 9,
bct_macros_executing_pack3,84,0,dn,8,1,bitpack,Macros Executing Bitpack,
bct_macros_executing_pack_bit24,84,0,dn,1,1,none,Macros Executing Bitpack bit 24,
bct_macros_executing_pack_bit23,84,1,dn,1,1,none,Macros Executing Bitpack bit 23,
bct_macros_executing_pack_bit22,84,2,dn,1,1,none,Macros Executing Bitpack bit 22,
bct_macros_executing_pack_bit21,84,3,dn,1,1,none,Macros Executing Bitpack bit 21,
bct_macros_executing_pack_bit20,84,4,dn,1,1,none,Macros Executing Bitpack bit 20,
bct_macros_executing_pack_bit19,84,5,dn,1,1,none,Macros Executing Bitpack bit 19,
bct_macros_executing_pack_bit18,84,6,dn,1,1,none,Macros Executing Bitpack bit 18,
bct_macros_executing_pack_bit17,84,7,dn,1,1,none,Macros Executing Bitpack bit 17,
bct_macros_executing_pack_bit32,85,0,dn,1,1,none,Macros Executing Bitpack bit 32,
bct_macros_executing_pack4,85,0,dn,8,1,bitpack,Macros Executing Bitpack,
bct_macros_executing_pack_bit31,85,1,dn,1,1,none,Macros Executing Bitpack bit 31,
bct_macros_executing_pack_bit30,85,2,dn,1,1,none,Macros Executing Bitpack bit 30,
bct_macros_executing_pack_bit29,85,3,dn,1,1,none,Macros Executing Bitpack bit 29,
bct_macros_executing_pack_bit28,85,4,dn,1,1,none,Macros Executing Bitpack bit 28,
bct_macros_executing_pack_bit27,85,5,dn,1,1,none,Macros Executing Bitpack bit 27,
bct_macros_executing_pack_bit26,85,6,dn,1,1,none,Macros Executing Bitpack bit 26,
bct_macros_executing_pack_bit25,85,7,dn,1,1,none,Macros Executing Bitpack bit 25,
bct_macros_executing_pack_bit40,86,0,dn,1,1,none,Macros Executing Bitpack bit 40,
bct_macros_executing_pack5,86,0,dn,8,1,bitpack,Macros Executing Bitpack,
